Order ID,Customer ID,Email,Customer gender,Order date,Product category,Subcategory,Country,Region,Unit price,Unit sold,Payment mode,Profit,Customer satisfaction
O00001,C2824,pittmanjulie@martinez.com,Male,2024-04-30,Home,Furniture,USA,West,369.55,18,Credit Card,1450.77,Very Satisfied
O00002,C1488,twilliams@harris.info,Male,2023-10-10,Clothing,Men,India,West,359.43,18,Net Banking,932.21,Very Dissatisfied
O00003,C5557,angelastone@yahoo.com,Male,2025-04-03,Clothing,Children,Australia,North,142.55,7,PayPal,120.18,Dissatisfied
O00004,C2584,nicole20@hotmail.com,Female,2024-02-15,Home,Decor,UK,East,366.22,18,Credit Card,1942.14,Dissatisfied
O00005,C2291,jessicaperry@vargas-jackson.com,Other,2024-11-03,Home,Decor,UK,West,353.76,2,Debit Card,180.14,Very Satisfied
O00006,C4814,lindarichardson@wilson.info,Male,2024-02-05,Beauty,Makeup,Australia,North,85.51,12,Debit Card,240.15,Very Satisfied
O00007,C3803,briannagrant@sullivan.com,Other,2024-02-04,Clothing,Men,Australia,South,138.62,18,Debit Card,591.16,Very Satisfied
O00008,C4752,donaldwebb@gmail.com,Male,2025-02-15,Home,Kitchen,UK,East,109.44,19,PayPal,296.36,Dissatisfied
O00009,C7482,mlopez@joyce-cunningham.com,Other,2023-08-12,Beauty,Skincare,UK,West,127.08,18,UPI,348.95,Very Dissatisfied
O00010,C8019,ysims@washington.com,Other,2024-09-07,Beauty,Makeup,USA,West,257.22,3,Credit Card,210.06,Satisfied
O00011,C3621,jaclynclay@yahoo.com,Other,2023-07-04,Beauty,Fragrance,India,South,193.9,15,UPI,437.1,Very Dissatisfied
O00012,C1188,andrea04@yahoo.com,Other,2023-10-07,Electronics,Tablets,UK,North,60.22,14,Debit Card,160.81,Neutral
O00013,C9201,monicamyers@long.biz,Male,2024-02-26,Electronics,Tablets,UK,West,80.66,6,UPI,140.69,Very Dissatisfied
O00014,C1009,karen94@hotmail.com,Other,2025-04-24,Home,Kitchen,India,East,464.9,10,Debit Card,518.76,Very Dissatisfied
O00015,C2290,aaron60@yahoo.com,Male,2023-09-30,Beauty,Skincare,USA,West,331.58,18,Debit Card,913.24,Very Dissatisfied
O00016,C7932,vgill@ross.info,Male,2024-08-07,Clothing,Children,UK,South,497.6,12,Net Banking,1671.48,Dissatisfied
O00017,C2982,joycecummings@torres-armstrong.com,Male,2024-07-23,Clothing,Men,UK,East,296.21,8,UPI,341.34,Very Satisfied
O00018,C1964,rebecca90@luna-warren.com,Male,2024-06-07,Electronics,Smartphones,UK,East,259.51,9,Net Banking,333.63,Satisfied
O00019,C8744,tjackson@neal.com,Male,2024-02-19,Beauty,Makeup,USA,East,52.98,14,PayPal,137.01,Dissatisfied
O00020,C1887,hhanson@nguyen.com,Other,2024-01-10,Electronics,Smartphones,Australia,North,401.29,4,Debit Card,222.02,Very Dissatisfied
O00021,C8350,howemaria@peters.biz,Male,2025-04-18,Beauty,Skincare,UK,South,128.65,3,Net Banking,100.97,Very Dissatisfied
O00022,C2604,garciadavid@hotmail.com,Male,2024-12-10,Electronics,Smartphones,USA,West,206.17,16,Debit Card,900.32,Very Satisfied
O00023,C3697,qpeters@wilson-cardenas.com,Female,2025-04-14,Electronics,Laptops,UK,South,146.2,18,Net Banking,344.63,Neutral
O00024,C4566,billhuffman@campbell.com,Male,2025-03-08,Electronics,Tablets,UK,East,29.82,16,UPI,135.44,Very Dissatisfied
O00025,C3579,lee14@simpson.com,Male,2024-04-30,Electronics,Smartphones,India,East,339.23,8,Net Banking,336.45,Very Dissatisfied
O00026,C5033,michael97@williams.com,Other,2023-10-22,Electronics,Tablets,India,South,330.4,19,UPI,1024.97,Neutral
O00027,C4346,todd09@banks.com,Other,2024-06-19,Home,Furniture,UK,South,69.78,10,Net Banking,113.91,Very Satisfied
O00028,C1152,malonejohnny@hotmail.com,Female,2025-01-31,Electronics,Smartphones,USA,North,70.57,12,Credit Card,233.6,Neutral
O00029,C5669,stephen36@reynolds-hernandez.com,Male,2025-05-04,Beauty,Fragrance,UK,East,335.59,18,PayPal,1729.74,Very Satisfied
O00030,C3200,brianmolina@jefferson.com,Female,2024-04-05,Electronics,Smartphones,USA,North,144.47,7,PayPal,142.31,Neutral
O00031,C9280,wtapia@fowler.biz,Female,2024-02-28,Home,Furniture,India,South,415.53,2,Credit Card,138.55,Satisfied
O00032,C5291,mark12@gmail.com,Male,2024-09-11,Beauty,Fragrance,Australia,East,60.38,5,UPI,32.37,Neutral
O00033,C3426,aaronjohnson@gmail.com,Female,2024-08-12,Clothing,Men,UK,North,450.0,2,PayPal,127.81,Satisfied
O00034,C2684,mwilliams@hotmail.com,Female,2024-10-06,Beauty,Fragrance,USA,West,432.98,6,Net Banking,272.67,Neutral
O00035,C7745,barbara56@smith.com,Other,2023-07-11,Clothing,Women,USA,East,194.36,2,Net Banking,56.16,Dissatisfied
O00036,C6728,lisa84@gmail.com,Female,2024-08-15,Clothing,Men,India,West,202.24,9,Credit Card,533.99,Neutral
O00037,C6753,julie14@yahoo.com,Other,2024-10-31,Beauty,Fragrance,UK,East,62.09,9,Debit Card,120.77,Neutral
O00038,C1626,ylove@caldwell-kirby.com,Male,2024-03-17,Beauty,Makeup,UK,South,305.07,17,Credit Card,918.16,Very Dissatisfied
O00039,C4114,zalexander@booth.com,Female,2025-05-08,Electronics,Tablets,Australia,East,262.36,18,Debit Card,816.25,Very Satisfied
O00040,C6409,ralph51@grant.org,Other,2023-08-16,Home,Decor,India,North,256.03,14,PayPal,646.92,Neutral
